Age,Gender,Weight_kg,Height_m,Workout_time,Calories_Burned,Type,Fat_Percentage,Frequency,Level,BMI
56,Male,88.3,1.71,1.69,1313.0,Yoga,12.6,4,Advanced,30.2
46,Female,74.9,1.53,1.3,883.0,HIIT,33.9,4,Intermediate,32.0
32,Female,68.1,1.66,1.11,677.0,Cardio,33.4,4,Intermediate,24.71
25,Male,53.2,1.7,0.59,532.0,Strength,28.8,3,Beginner,18.41
38,Male,46.1,1.79,0.64,556.0,Strength,29.2,3,Beginner,14.39
56,Female,58.0,1.68,1.59,1116.0,HIIT,15.5,5,Advanced,20.55
36,Male,70.3,1.72,1.49,1385.0,Cardio,21.3,3,Intermediate,23.76
40,Female,69.7,1.51,1.27,895.0,Cardio,30.6,3,Intermediate,30.57
28,Male,121.7,1.94,1.03,719.0,Strength,28.9,4,Intermediate,32.34
28,Male,101.8,1.84,1.08,808.0,Cardio,29.7,3,Beginner,30.07
41,Male,120.8,1.67,0.82,593.0,HIIT,20.5,2,Beginner,43.31
53,Male,51.7,1.7,1.15,865.0,HIIT,23.6,3,Intermediate,17.89
57,Male,112.5,1.61,1.24,1013.0,Cardio,22.1,3,Intermediate,43.4
41,Male,94.5,2.0,1.18,794.0,HIIT,27.6,3,Beginner,23.62
20,Male,117.7,1.81,1.35,1195.0,Yoga,26.4,3,Intermediate,35.93
39,Female,42.5,1.75,1.13,740.0,Strength,26.2,2,Beginner,13.88
19,Female,64.0,1.53,1.33,1111.0,HIIT,29.8,3,Intermediate,27.34
41,Female,43.8,1.77,1.19,884.0,Cardio,31.9,3,Beginner,13.98
47,Female,66.8,1.75,1.13,742.0,Strength,32.8,3,Intermediate,21.81
55,Female,75.2,1.67,1.37,1030.0,HIIT,25.2,2,Beginner,26.96
19,Male,89.0,1.77,1.5,1048.0,Strength,28.9,4,Intermediate,28.41
38,Male,71.9,1.77,1.12,875.0,Cardio,25.7,2,Beginner,22.95
50,Female,71.0,1.68,1.17,848.0,Yoga,33.1,2,Beginner,25.16
29,Male,120.9,1.78,0.78,721.0,Yoga,28.1,2,Beginner,38.16
39,Female,64.3,1.69,1.25,925.0,HIIT,26.9,4,Intermediate,22.51
42,Female,63.7,1.71,1.42,1080.0,Yoga,26.1,3,Intermediate,21.78
44,Male,65.2,1.8,0.73,502.0,HIIT,27.2,2,Beginner,20.12
59,Male,53.9,1.75,1.48,989.0,Strength,21.6,4,Intermediate,17.6
45,Male,84.9,1.86,1.64,1104.0,HIIT,14.2,5,Advanced,24.54
33,Female,78.0,1.68,1.29,871.0,HIIT,32.3,3,Intermediate,27.64
32,Male,108.2,1.8,1.27,964.0,HIIT,28.4,3,Beginner,33.4
20,Female,65.4,1.52,1.03,654.0,Yoga,28.0,4,Intermediate,28.31
54,Female,50.2,1.61,1.48,1046.0,HIIT,28.2,2,Beginner,19.37
24,Female,58.9,1.51,1.04,816.0,Cardio,31.7,2,Beginner,25.83
38,Male,81.4,1.71,1.52,1237.0,HIIT,10.2,5,Advanced,27.84
26,Male,127.6,1.73,1.32,1162.0,Strength,27.3,3,Beginner,42.63
56,Female,59.3,1.56,1.26,879.0,Cardio,33.4,4,Intermediate,24.37
35,Male,96.9,1.71,1.34,1069.0,Strength,24.2,3,Intermediate,33.14
21,Male,62.6,1.81,1.3,1072.0,Strength,27.6,4,Intermediate,19.11
42,Male,45.5,1.6,1.31,1057.0,Strength,21.7,3,Intermediate,17.77
31,Female,48.8,1.51,1.48,969.0,Cardio,28.2,2,Beginner,21.4
26,Female,44.3,1.6,1.08,734.0,Cardio,34.7,3,Beginner,17.3
43,Male,113.2,1.83,1.45,962.0,Yoga,29.9,4,Intermediate,33.8
19,Female,60.5,1.59,1.14,730.0,Cardio,30.1,2,Beginner,23.93
37,Male,124.2,1.76,1.5,1304.0,HIIT,29.3,2,Beginner,40.1
45,Male,52.4,1.85,1.2,956.0,Strength,25.2,3,Beginner,15.31
24,Male,54.7,1.74,0.84,772.0,Yoga,22.9,3,Beginner,18.07
25,Male,88.1,1.95,1.41,1016.0,Cardio,22.7,2,Beginner,23.17
52,Female,59.7,1.71,1.23,836.0,Strength,34.3,3,Beginner,20.42
31,Female,79.7,1.54,1.03,742.0,Cardio,26.7,4,Intermediate,33.61
34,Female,51.0,1.62,1.42,1122.0,Yoga,30.8,3,Intermediate,19.43
53,Male,84.2,1.76,1.67,1133.0,Cardio,12.8,5,Advanced,27.18
57,Male,122.1,1.89,1.13,750.0,Cardio,27.4,3,Beginner,34.18
21,Male,96.7,1.72,1.26,1046.0,Strength,25.0,3,Beginner,32.69
19,Female,73.0,1.79,0.81,506.0,HIIT,27.7,3,Beginner,22.78
23,Male,114.8,1.6,1.47,1318.0,Cardio,21.7,4,Intermediate,44.84
59,Female,65.5,1.52,1.4,1021.0,Yoga,31.2,3,Intermediate,28.35
21,Female,50.3,1.52,1.08,832.0,Cardio,32.2,3,Beginner,21.77
46,Female,61.0,1.71,1.67,1150.0,Cardio,17.8,4,Advanced,20.86
35,Female,44.6,1.62,0.56,440.0,HIIT,32.4,2,Beginner,16.99
43,Female,58.2,1.61,1.04,580.0,Strength,26.4,3,Intermediate,22.45
51,Female,44.8,1.63,1.08,666.0,Yoga,33.8,4,Intermediate,16.86
27,Male,87.5,1.63,1.75,1299.0,Strength,12.9,5,Advanced,32.93
53,Male,51.8,1.74,1.23,773.0,Strength,21.3,3,Intermediate,17.11
31,Female,64.4,1.7,1.97,1418.0,Strength,17.3,5,Advanced,22.28
48,Female,67.1,1.61,0.62,421.0,Cardio,33.4,2,Beginner,25.89
32,Male,85.9,1.6,1.99,1587.0,HIIT,14.5,5,Advanced,33.55
25,Female,65.4,1.77,0.89,627.0,Cardio,27.6,3,Beginner,20.88
31,Female,61.1,1.76,1.81,1358.0,Yoga,18.6,4,Advanced,19.72
40,Male,106.5,1.65,1.32,1176.0,HIIT,21.0,4,Intermediate,39.12
57,Female,64.0,1.52,1.73,1004.0,Strength,15.2,5,Advanced,27.7
38,Female,61.4,1.54,1.47,963.0,HIIT,30.6,3,Intermediate,25.89
33,Female,40.5,1.63,1.07,786.0,Yoga,31.9,4,Intermediate,15.24
35,Male,70.1,1.79,1.08,743.0,Cardio,28.0,3,Intermediate,21.88
41,Male,94.1,1.62,1.13,777.0,Cardio,23.4,4,Intermediate,35.86
43,Male,55.5,1.82,1.08,663.0,Strength,20.1,3,Beginner,16.76
42,Female,53.7,1.72,1.37,875.0,Cardio,29.8,3,Beginner,18.15
58,Female,66.1,1.75,0.63,363.0,Cardio,25.2,2,Beginner,21.58
46,Male,103.9,1.77,1.18,864.0,Yoga,20.9,2,Beginner,33.16
32,Female,61.7,1.58,1.87,1262.0,HIIT,16.6,5,Advanced,24.72
18,Female,52.3,1.74,1.2,990.0,Cardio,29.4,2,Beginner,17.27
42,Female,59.5,1.74,1.78,1129.0,Yoga,16.4,5,Advanced,19.65
24,Female,72.9,1.76,0.86,546.0,Yoga,30.8,3,Beginner,23.53
26,Female,76.7,1.63,1.08,751.0,Strength,25.6,2,Beginner,28.87
41,Male,72.1,1.83,1.13,744.0,Yoga,21.4,3,Intermediate,21.53
18,Female,54.8,1.68,1.27,1003.0,Strength,32.0,4,Intermediate,19.42
25,Male,105.0,1.88,1.34,1150.0,Cardio,21.4,3,Intermediate,29.71
41,Female,55.0,1.55,1.45,1103.0,Strength,31.4,4,Intermediate,22.89
28,Male,81.6,1.66,1.09,917.0,Yoga,20.5,4,Intermediate,29.61
34,Female,75.6,1.6,0.64,416.0,HIIT,29.1,2,Beginner,29.53
25,Male,81.5,1.61,1.93,1688.0,HIIT,10.9,4,Advanced,31.44
52,Female,61.5,1.69,1.8,1231.0,Cardio,15.5,4,Advanced,21.53
52,Male,74.0,1.63,1.26,936.0,Cardio,25.7,3,Intermediate,27.85
50,Female,56.4,1.59,1.26,924.0,HIIT,34.3,3,Beginner,22.31
22,Male,102.6,1.84,1.25,1052.0,Strength,20.5,3,Intermediate,30.3
59,Female,54.6,1.57,0.58,441.0,Cardio,29.2,3,Beginner,22.15
56,Male,129.0,1.78,1.29,805.0,Yoga,27.1,2,Beginner,40.71
58,Male,103.5,1.66,1.33,1106.0,Cardio,24.6,3,Beginner,37.56
45,Female,59.4,1.51,1.15,735.0,Strength,33.1,4,Intermediate,26.05
24,Female,60.1,1.79,1.97,1625.0,Cardio,15.9,4,Advanced,18.76
26,Male,77.7,1.62,1.16,804.0,Yoga,29.6,3,Intermediate,29.61
25,Female,41.2,1.62,1.49,1073.0,Yoga,28.9,4,Intermediate,15.7
29,Male,58.6,1.61,1.2,805.0,Yoga,23.4,3,Intermediate,22.61
51,Male,109.3,1.78,0.54,420.0,Strength,28.7,3,Beginner,34.5
50,Male,69.6,1.96,0.97,667.0,Strength,25.6,3,Beginner,18.12
40,Female,56.2,1.79,1.79,1369.0,Yoga,17.6,5,Advanced,17.54
41,Male,71.7,1.96,0.51,424.0,Yoga,27.3,2,Beginner,18.66
54,Male,86.0,1.93,1.74,1404.0,Strength,12.9,5,Advanced,23.09
52,Female,79.4,1.59,1.39,1020.0,Strength,26.6,3,Intermediate,31.41
57,Female,78.4,1.62,1.01,677.0,Strength,31.7,4,Intermediate,29.87
39,Female,55.4,1.6,1.44,979.0,HIIT,26.3,3,Intermediate,21.64
44,Female,61.7,1.55,1.41,819.0,Strength,33.1,4,Intermediate,25.68
52,Male,85.5,1.82,1.78,1357.0,Yoga,14.9,4,Advanced,25.81
18,Male,87.6,1.93,1.72,1315.0,HIIT,11.9,4,Advanced,23.52
52,Male,82.4,1.72,1.01,685.0,Strength,24.4,4,Intermediate,27.85
54,Male,67.0,1.68,0.55,446.0,Yoga,20.5,3,Beginner,23.74
31,Female,42.3,1.6,1.09,888.0,Cardio,25.1,3,Intermediate,16.52
20,Male,82.7,1.99,1.69,1357.0,HIIT,14.6,5,Advanced,20.88
18,Male,92.4,1.74,1.41,1303.0,Yoga,21.3,2,Beginner,30.52
22,Female,63.2,1.54,1.02,790.0,Cardio,29.5,4,Intermediate,26.65
43,Male,82.7,1.85,1.22,858.0,Yoga,28.2,4,Intermediate,24.16
31,Male,86.6,1.76,1.29,1071.0,Strength,28.9,3,Intermediate,27.96
56,Male,129.5,1.95,1.0,639.0,Strength,25.2,2,Beginner,34.06
44,Male,98.0,1.83,1.28,824.0,Cardio,25.7,4,Intermediate,29.26
26,Male,86.2,1.68,1.97,1701.0,Strength,13.3,5,Advanced,30.54
32,Male,78.6,1.62,1.28,880.0,Yoga,29.6,3,Beginner,29.95
32,Female,59.0,1.66,0.51,408.0,Cardio,31.0,2,Beginner,21.41
43,Female,57.3,1.79,1.98,1479.0,Yoga,17.8,4,Advanced,17.88
59,Male,122.3,1.89,0.66,500.0,Yoga,20.1,3,Beginner,34.24
30,Male,85.3,1.95,1.61,1373.0,Yoga,10.4,5,Advanced,22.43
49,Female,45.2,1.74,1.24,870.0,Strength,30.8,3,Intermediate,14.93
56,Male,55.6,1.92,0.68,458.0,Strength,29.4,3,Beginner,15.08
49,Male,82.8,1.95,1.91,1503.0,Yoga,14.3,5,Advanced,21.78
21,Male,125.2,1.66,1.38,1207.0,HIIT,29.8,3,Intermediate,45.43
47,Female,58.5,1.79,1.42,837.0,Yoga,30.3,4,Intermediate,18.26
54,Male,86.1,1.95,1.17,811.0,Yoga,27.9,2,Beginner,22.64
40,Female,63.5,1.61,1.31,1041.0,Cardio,33.4,3,Intermediate,24.5
56,Male,69.3,1.68,0.66,451.0,Yoga,26.5,2,Beginner,24.55
32,Female,70.5,1.62,1.24,756.0,Strength,28.4,2,Beginner,26.86
46,Female,60.1,1.65,1.69,1042.0,Cardio,17.3,4,Advanced,22.08
53,Male,94.1,1.95,0.89,608.0,HIIT,28.6,3,Beginner,24.75
30,Female,79.2,1.62,1.26,1046.0,Cardio,28.0,4,Intermediate,30.18
49,Male,115.3,1.91,1.38,854.0,HIIT,29.2,2,Beginner,31.61
24,Female,62.9,1.79,1.42,958.0,Cardio,27.3,4,Intermediate,19.63
39,Male,62.0,1.64,0.97,678.0,Cardio,27.5,3,Beginner,23.05
45,Male,88.5,1.78,1.53,1265.0,HIIT,13.2,4,Advanced,27.93
19,Female,73.9,1.77,1.28,877.0,Strength,32.5,3,Intermediate,23.59
59,Male,50.3,1.95,1.07,885.0,Strength,24.4,3,Beginner,13.23
23,Male,83.1,1.8,0.7,624.0,Strength,29.3,3,Beginner,25.65
45,Female,65.1,1.78,1.46,1038.0,Cardio,31.3,3,Beginner,20.55
45,Male,46.6,1.79,1.46,1214.0,Yoga,22.9,3,Intermediate,14.54
37,Male,103.5,1.89,0.54,499.0,Cardio,26.4,2,Beginner,28.97
47,Female,61.9,1.54,1.95,1150.0,Yoga,16.4,4,Advanced,26.1
28,Female,52.0,1.61,1.32,1082.0,Yoga,27.9,3,Intermediate,20.06
45,Male,113.4,1.71,0.83,530.0,Strength,24.0,2,Beginner,38.78
42,Male,62.9,1.98,1.42,886.0,Yoga,28.5,4,Intermediate,16.04
56,Female,40.4,1.8,1.23,913.0,Cardio,30.0,4,Intermediate,12.47
50,Female,67.1,1.75,0.67,362.0,Cardio,31.8,3,Beginner,21.91
18,Male,70.0,1.61,1.3,1201.0,Strength,23.9,2,Beginner,27.01
44,Female,69.5,1.75,1.02,711.0,HIIT,27.6,3,Beginner,22.69
30,Male,107.9,1.66,1.08,832.0,Cardio,29.5,3,Intermediate,39.16
58,Male,109.0,1.91,1.49,1151.0,Yoga,26.0,3,Intermediate,29.88
20,Male,101.0,1.91,1.36,1070.0,Cardio,29.3,3,Intermediate,27.69
56,Male,88.5,1.85,1.57,1119.0,Cardio,11.0,4,Advanced,25.86
23,Male,80.9,1.8,1.55,1074.0,Cardio,10.7,4,Advanced,24.97
25,Female,43.1,1.62,1.04,837.0,HIIT,33.6,4,Intermediate,16.42
44,Female,59.1,1.52,1.58,967.0,Yoga,18.4,5,Advanced,25.58
26,Female,54.0,1.53,1.14,844.0,Strength,26.9,3,Beginner,23.07
54,Female,72.3,1.78,1.27,852.0,Cardio,27.7,2,Beginner,22.82
50,Male,51.1,1.98,0.92,574.0,Yoga,28.0,2,Beginner,13.03
59,Male,89.4,1.72,1.08,813.0,Yoga,24.5,3,Beginner,30.22
41,Male,51.5,1.8,1.09,680.0,Strength,26.7,4,Intermediate,15.9
32,Male,87.9,1.88,1.52,1195.0,Cardio,11.6,5,Advanced,24.87
49,Female,42.0,1.52,1.1,644.0,HIIT,28.8,3,Beginner,18.18
49,Male,79.2,1.72,1.46,925.0,Yoga,29.9,3,Beginner,26.77
41,Male,64.8,1.71,1.2,778.0,Strength,22.5,3,Intermediate,22.16
58,Female,63.0,1.78,1.58,1095.0,HIIT,17.5,4,Advanced,19.88
29,Female,56.2,1.77,0.68,418.0,Yoga,33.4,3,Beginner,17.94
56,Female,52.9,1.64,1.1,767.0,Cardio,27.4,3,Intermediate,19.67
19,Female,49.0,1.69,1.05,772.0,Yoga,29.2,3,Beginner,17.16
20,Male,128.2,1.84,0.83,603.0,HIIT,26.2,3,Beginner,37.87
54,Male,83.6,1.86,1.54,1082.0,HIIT,12.4,5,Advanced,24.16
34,Female,56.2,1.77,1.81,1249.0,Cardio,17.3,5,Advanced,17.94
19,Male,87.8,1.78,1.28,1133.0,Cardio,23.6,2,Beginner,27.71
19,Male,85.9,1.85,1.66,1424.0,Strength,12.9,4,Advanced,25.1
45,Male,51.1,1.87,1.44,1126.0,Cardio,26.2,4,Intermediate,14.61
40,Female,57.4,1.71,1.87,1337.0,Strength,18.3,5,Advanced,19.63
54,Male,114.9,1.92,1.2,802.0,HIIT,20.7,4,Intermediate,31.17
49,Female,62.1,1.66,1.37,937.0,HIIT,31.3,3,Intermediate,22.54
50,Male,57.1,1.91,1.09,707.0,Yoga,29.5,4,Intermediate,15.65
18,Male,68.1,1.8,1.1,926.0,Yoga,25.4,4,Intermediate,21.02
36,Male,69.2,1.65,1.23,852.0,Strength,27.2,3,Beginner,25.42
19,Female,65.2,1.52,1.23,800.0,Cardio,30.6,3,Beginner,28.22
43,Male,108.6,1.73,1.33,988.0,Cardio,28.5,2,Beginner,36.29
49,Female,40.0,1.65,1.03,686.0,Yoga,34.3,3,Intermediate,14.69
23,Female,41.9,1.58,0.56,370.0,HIIT,26.8,3,Beginner,16.78
49,Female,68.3,1.52,1.45,979.0,Strength,29.4,4,Intermediate,29.56
21,Male,88.4,1.6,1.71,1138.0,HIIT,12.0,4,Advanced,34.53
28,Male,66.0,1.9,1.18,1025.0,HIIT,24.1,3,Beginner,18.28
34,Male,71.9,1.64,1.26,929.0,Cardio,21.3,4,Intermediate,26.73
55,Male,75.6,1.71,1.03,663.0,Strength,28.1,4,Intermediate,25.85
41,Female,63.4,1.59,1.84,1267.0,HIIT,15.2,5,Advanced,25.08
22,Female,71.6,1.77,1.49,1177.0,Yoga,30.3,3,Beginner,22.85
51,Female,57.4,1.77,1.08,598.0,Yoga,31.6,4,Intermediate,18.32
23,Male,83.8,1.99,1.79,1280.0,Cardio,11.0,4,Advanced,21.16
39,Female,55.9,1.71,1.95,1443.0,Yoga,19.5,5,Advanced,19.12
28,Male,87.0,1.76,1.2,799.0,Yoga,28.4,3,Intermediate,28.09
33,Female,65.3,1.71,1.18,796.0,HIIT,29.7,4,Intermediate,22.33
50,Male,45.4,1.67,1.37,1071.0,Yoga,24.1,4,Intermediate,16.28
26,Male,87.1,1.87,1.71,1241.0,Yoga,11.2,4,Advanced,24.91
23,Female,78.6,1.73,1.47,1147.0,HIIT,32.3,4,Intermediate,26.26
33,Female,78.0,1.71,1.08,734.0,Cardio,26.3,3,Beginner,26.67
46,Female,58.0,1.53,1.83,1153.0,Cardio,18.4,4,Advanced,24.78
20,Female,71.3,1.69,1.28,1043.0,Strength,33.4,3,Intermediate,24.96
37,Male,49.1,1.74,1.11,842.0,Yoga,22.3,3,Intermediate,16.22
53,Female,78.3,1.65,1.24,703.0,HIIT,33.7,3,Beginner,28.76
36,Female,57.3,1.64,1.13,887.0,Strength,25.3,4,Intermediate,21.3
43,Female,48.4,1.61,1.28,732.0,Cardio,34.1,2,Beginner,18.67
20,Male,76.4,1.62,1.35,980.0,Cardio,21.2,4,Intermediate,29.11
36,Male,110.2,1.77,1.19,1021.0,HIIT,26.5,2,Beginner,35.18
37,Female,72.9,1.76,1.21,732.0,Strength,27.5,3,Intermediate,23.53
49,Male,82.1,1.86,1.87,1481.0,Strength,14.2,4,Advanced,23.73
24,Female,58.9,1.76,0.63,410.0,HIIT,30.1,3,Beginner,19.01
58,Male,82.2,1.87,1.57,1111.0,HIIT,10.7,4,Advanced,23.51
50,Male,96.7,1.72,1.46,903.0,Strength,25.7,3,Intermediate,32.69
57,Male,81.4,1.86,1.8,1292.0,Cardio,12.0,5,Advanced,23.53
56,Male,107.8,1.73,1.09,680.0,Yoga,26.6,3,Intermediate,36.02
35,Female,65.8,1.62,1.0,790.0,Cardio,33.8,4,Intermediate,25.07
57,Female,68.5,1.56,1.45,900.0,HIIT,29.1,4,Intermediate,28.15
18,Female,63.9,1.59,1.87,1169.0,Strength,16.4,4,Advanced,25.28
28,Male,76.3,1.62,1.16,1034.0,Strength,20.1,3,Intermediate,29.07
45,Female,44.5,1.65,1.44,959.0,Yoga,30.7,3,Beginner,16.35
42,Female,50.7,1.75,1.29,940.0,Strength,29.0,3,Intermediate,16.56
40,Female,55.1,1.61,1.55,1224.0,Yoga,16.9,4,Advanced,21.26
48,Male,73.7,1.61,1.36,815.0,Cardio,21.8,4,Intermediate,28.43
47,Male,55.6,1.77,1.2,820.0,Cardio,24.3,4,Intermediate,17.75
59,Male,86.9,1.76,1.13,688.0,Strength,29.8,3,Intermediate,28.05
52,Female,60.3,1.68,1.6,900.0,Strength,16.5,4,Advanced,21.36
24,Female,40.4,1.64,0.99,832.0,HIIT,31.0,2,Beginner,15.02
33,Female,78.5,1.66,1.29,1006.0,HIIT,32.8,4,Intermediate,28.49
43,Male,102.6,1.72,0.82,597.0,Strength,27.5,2,Beginner,34.68
