Age,Gender,Weight_kg,Height_m,Workout_time,Calories_Burned,Type,Fat_Percentage,Frequency,Level,BMI,member_id,goal,equipment_access,injury
25,Male,53.2,1.7,0.59,532.0,Strength,28.8,3,Beginner,18.41,M0000,Hypertrophy,Home,None
38,Male,46.1,1.79,0.64,556.0,Strength,29.2,3,Beginner,14.39,M0001,Hypertrophy,Home,None
28,Male,121.7,1.94,1.03,719.0,Strength,28.9,4,Intermediate,32.34,M0002,FatLoss,BasicGym,Shoulder
39,Female,42.5,1.75,1.13,740.0,Strength,26.2,2,Beginner,13.88,M0003,Hypertrophy,Home,Knee
47,Female,66.8,1.75,1.13,742.0,Strength,32.8,3,Intermediate,21.81,M0004,Endurance,BasicGym,None
19,Male,89.0,1.77,1.5,1048.0,Strength,28.9,4,Intermediate,28.41,M0005,FatLoss,BasicGym,None
59,Male,53.9,1.75,1.48,989.0,Strength,21.6,4,Intermediate,17.6,M0006,Endurance,BasicGym,None
26,Male,127.6,1.73,1.32,1162.0,Strength,27.3,3,Beginner,42.63,M0007,FatLoss,Home,None
35,Male,96.9,1.71,1.34,1069.0,Strength,24.2,3,Intermediate,33.14,M0008,FatLoss,BasicGym,Shoulder
21,Male,62.6,1.81,1.3,1072.0,Strength,27.6,4,Intermediate,19.11,M0009,Hypertrophy,BasicGym,None
42,Male,45.5,1.6,1.31,1057.0,Strength,21.7,3,Intermediate,17.77,M0010,Hypertrophy,BasicGym,None
45,Male,52.4,1.85,1.2,956.0,Strength,25.2,3,Beginner,15.31,M0011,Hypertrophy,Home,Knee
52,Female,59.7,1.71,1.23,836.0,Strength,34.3,3,Beginner,20.42,M0012,Endurance,Home,None
21,Male,96.7,1.72,1.26,1046.0,Strength,25.0,3,Beginner,32.69,M0013,FatLoss,Home,None
43,Female,58.2,1.61,1.04,580.0,Strength,26.4,3,Intermediate,22.45,M0014,Hypertrophy,BasicGym,None
27,Male,87.5,1.63,1.75,1299.0,Strength,12.9,5,Advanced,32.93,M0015,FatLoss,FullGym,None
53,Male,51.8,1.74,1.23,773.0,Strength,21.3,3,Intermediate,17.11,M0016,Endurance,BasicGym,None
31,Female,64.4,1.7,1.97,1418.0,Strength,17.3,5,Advanced,22.28,M0017,Strength,FullGym,None
57,Female,64.0,1.52,1.73,1004.0,Strength,15.2,5,Advanced,27.7,M0018,FatLoss,FullGym,None
43,Male,55.5,1.82,1.08,663.0,Strength,20.1,3,Beginner,16.76,M0019,Hypertrophy,Home,LowerBack
26,Female,76.7,1.63,1.08,751.0,Strength,25.6,2,Beginner,28.87,M0020,FatLoss,Home,None
18,Female,54.8,1.68,1.27,1003.0,Strength,32.0,4,Intermediate,19.42,M0021,Hypertrophy,BasicGym,None
41,Female,55.0,1.55,1.45,1103.0,Strength,31.4,4,Intermediate,22.89,M0022,Hypertrophy,BasicGym,None
22,Male,102.6,1.84,1.25,1052.0,Strength,20.5,3,Intermediate,30.3,M0023,FatLoss,BasicGym,None
45,Female,59.4,1.51,1.15,735.0,Strength,33.1,4,Intermediate,26.05,M0024,Hypertrophy,BasicGym,None
51,Male,109.3,1.78,0.54,420.0,Strength,28.7,3,Beginner,34.5,M0025,FatLoss,Home,Shoulder
50,Male,69.6,1.96,0.97,667.0,Strength,25.6,3,Beginner,18.12,M0026,Endurance,Home,None
54,Male,86.0,1.93,1.74,1404.0,Strength,12.9,5,Advanced,23.09,M0027,Strength,FullGym,LowerBack
52,Female,79.4,1.59,1.39,1020.0,Strength,26.6,3,Intermediate,31.41,M0028,FatLoss,BasicGym,None
57,Female,78.4,1.62,1.01,677.0,Strength,31.7,4,Intermediate,29.87,M0029,FatLoss,BasicGym,None
44,Female,61.7,1.55,1.41,819.0,Strength,33.1,4,Intermediate,25.68,M0030,Hypertrophy,BasicGym,None
52,Male,82.4,1.72,1.01,685.0,Strength,24.4,4,Intermediate,27.85,M0031,FatLoss,BasicGym,None
31,Male,86.6,1.76,1.29,1071.0,Strength,28.9,3,Intermediate,27.96,M0032,FatLoss,BasicGym,None
56,Male,129.5,1.95,1.0,639.0,Strength,25.2,2,Beginner,34.06,M0033,FatLoss,Home,None
26,Male,86.2,1.68,1.97,1701.0,Strength,13.3,5,Advanced,30.54,M0034,FatLoss,FullGym,LowerBack
49,Female,45.2,1.74,1.24,870.0,Strength,30.8,3,Intermediate,14.93,M0035,Endurance,BasicGym,None
56,Male,55.6,1.92,0.68,458.0,Strength,29.4,3,Beginner,15.08,M0036,Endurance,Home,None
32,Female,70.5,1.62,1.24,756.0,Strength,28.4,2,Beginner,26.86,M0037,Hypertrophy,BasicGym,None
19,Female,73.9,1.77,1.28,877.0,Strength,32.5,3,Intermediate,23.59,M0038,Hypertrophy,BasicGym,None
59,Male,50.3,1.95,1.07,885.0,Strength,24.4,3,Beginner,13.23,M0039,Endurance,BasicGym,None
23,Male,83.1,1.8,0.7,624.0,Strength,29.3,3,Beginner,25.65,M0040,Hypertrophy,Home,None
45,Male,113.4,1.71,0.83,530.0,Strength,24.0,2,Beginner,38.78,M0041,FatLoss,Home,None
18,Male,70.0,1.61,1.3,1201.0,Strength,23.9,2,Beginner,27.01,M0042,FatLoss,BasicGym,None
26,Female,54.0,1.53,1.14,844.0,Strength,26.9,3,Beginner,23.07,M0043,Hypertrophy,BasicGym,None
41,Male,51.5,1.8,1.09,680.0,Strength,26.7,4,Intermediate,15.9,M0044,Hypertrophy,BasicGym,None
41,Male,64.8,1.71,1.2,778.0,Strength,22.5,3,Intermediate,22.16,M0045,Hypertrophy,BasicGym,None
19,Male,85.9,1.85,1.66,1424.0,Strength,12.9,4,Advanced,25.1,M0046,Strength,FullGym,None
40,Female,57.4,1.71,1.87,1337.0,Strength,18.3,5,Advanced,19.63,M0047,Strength,FullGym,None
36,Male,69.2,1.65,1.23,852.0,Strength,27.2,3,Beginner,25.42,M0048,Hypertrophy,Home,None
49,Female,68.3,1.52,1.45,979.0,Strength,29.4,4,Intermediate,29.56,M0049,FatLoss,BasicGym,None
55,Male,75.6,1.71,1.03,663.0,Strength,28.1,4,Intermediate,25.85,M0050,Endurance,BasicGym,None
20,Female,71.3,1.69,1.28,1043.0,Strength,33.4,3,Intermediate,24.96,M0051,Hypertrophy,BasicGym,Shoulder
36,Female,57.3,1.64,1.13,887.0,Strength,25.3,4,Intermediate,21.3,M0052,Hypertrophy,BasicGym,None
37,Female,72.9,1.76,1.21,732.0,Strength,27.5,3,Intermediate,23.53,M0053,Hypertrophy,BasicGym,None
49,Male,82.1,1.86,1.87,1481.0,Strength,14.2,4,Advanced,23.73,M0054,Strength,FullGym,None
50,Male,96.7,1.72,1.46,903.0,Strength,25.7,3,Intermediate,32.69,M0055,FatLoss,BasicGym,None
18,Female,63.9,1.59,1.87,1169.0,Strength,16.4,4,Advanced,25.28,M0056,Strength,FullGym,None
28,Male,76.3,1.62,1.16,1034.0,Strength,20.1,3,Intermediate,29.07,M0057,FatLoss,BasicGym,None
42,Female,50.7,1.75,1.29,940.0,Strength,29.0,3,Intermediate,16.56,M0058,Hypertrophy,BasicGym,None
59,Male,86.9,1.76,1.13,688.0,Strength,29.8,3,Intermediate,28.05,M0059,FatLoss,BasicGym,None
52,Female,60.3,1.68,1.6,900.0,Strength,16.5,4,Advanced,21.36,M0060,Strength,FullGym,None
43,Male,102.6,1.72,0.82,597.0,Strength,27.5,2,Beginner,34.68,M0061,FatLoss,BasicGym,None
19,Male,110.8,1.91,1.31,1074.0,Strength,23.3,2,Beginner,30.37,M0062,FatLoss,BasicGym,Knee
29,Male,55.7,1.61,1.41,993.0,Strength,28.7,3,Beginner,21.49,M0063,Hypertrophy,BasicGym,LowerBack
20,Female,75.9,1.73,1.39,1056.0,Strength,30.6,4,Intermediate,25.36,M0064,Hypertrophy,BasicGym,None
53,Male,125.1,1.91,0.52,353.0,Strength,28.3,2,Beginner,34.29,M0065,FatLoss,Home,None
37,Female,54.6,1.57,1.31,982.0,Strength,32.1,3,Beginner,22.15,M0066,Hypertrophy,Home,None
42,Male,97.9,1.91,1.01,680.0,Strength,29.0,3,Intermediate,26.84,M0067,Hypertrophy,BasicGym,None
52,Female,63.1,1.54,1.36,1010.0,Strength,34.8,3,Intermediate,26.61,M0068,Endurance,BasicGym,None
46,Female,58.9,1.7,1.52,1060.0,Strength,17.1,4,Advanced,20.38,M0069,Strength,FullGym,Knee
53,Female,56.3,1.79,1.52,964.0,Strength,16.5,5,Advanced,17.57,M0070,Strength,FullGym,None
21,Female,60.0,1.7,1.97,1212.0,Strength,19.1,5,Advanced,20.76,M0071,Strength,FullGym,None
24,Female,42.0,1.75,0.83,598.0,Strength,31.8,3,Beginner,13.71,M0072,Hypertrophy,BasicGym,None
29,Male,125.9,2.0,1.36,1137.0,Strength,24.7,4,Intermediate,31.48,M0073,FatLoss,BasicGym,None
39,Male,93.4,1.7,1.1,938.0,Strength,21.1,4,Intermediate,32.32,M0074,FatLoss,BasicGym,None
47,Male,82.1,1.84,1.37,922.0,Strength,24.4,4,Intermediate,24.25,M0075,Endurance,BasicGym,None
50,Male,87.4,1.6,0.77,465.0,Strength,23.2,2,Beginner,34.14,M0076,FatLoss,BasicGym,None
46,Female,63.1,1.61,1.0,684.0,Strength,34.7,4,Intermediate,24.34,M0077,Endurance,BasicGym,None
48,Female,62.9,1.58,1.98,1105.0,Strength,20.0,4,Advanced,25.2,M0078,Strength,FullGym,None
50,Female,55.4,1.55,1.85,1016.0,Strength,18.5,4,Advanced,23.06,M0079,Strength,FullGym,None
20,Female,74.7,1.58,1.04,863.0,Strength,32.8,3,Intermediate,29.92,M0080,FatLoss,BasicGym,None
35,Female,78.0,1.67,1.13,949.0,Strength,33.3,4,Intermediate,27.97,M0081,FatLoss,BasicGym,None
39,Female,63.6,1.56,1.22,903.0,Strength,34.8,2,Beginner,26.13,M0082,Hypertrophy,Home,None
40,Male,73.2,1.94,0.81,722.0,Strength,29.0,2,Beginner,19.45,M0083,Hypertrophy,Home,None
19,Female,48.3,1.52,0.96,653.0,Strength,26.3,2,Beginner,20.91,M0084,Hypertrophy,Home,None
44,Female,42.8,1.78,1.49,1066.0,Strength,25.3,3,Intermediate,13.51,M0085,Hypertrophy,BasicGym,None
59,Male,88.1,1.76,1.35,1123.0,Strength,26.9,3,Intermediate,28.44,M0086,FatLoss,BasicGym,Shoulder
57,Female,46.1,1.76,1.44,842.0,Strength,25.8,3,Intermediate,14.88,M0087,Endurance,BasicGym,None
26,Female,59.3,1.51,1.7,1096.0,Strength,15.1,5,Advanced,26.01,M0088,Strength,FullGym,None
56,Female,45.1,1.73,0.83,482.0,Strength,25.4,3,Beginner,15.07,M0089,Endurance,Home,None
59,Male,89.4,1.62,1.43,885.0,Strength,23.5,3,Intermediate,34.06,M0090,FatLoss,BasicGym,None
52,Male,70.9,1.72,1.31,927.0,Strength,20.2,3,Intermediate,23.97,M0091,Endurance,BasicGym,Knee
25,Male,76.5,1.96,0.67,442.0,Strength,23.2,3,Beginner,19.91,M0092,Hypertrophy,Home,None
33,Male,113.6,1.99,1.38,949.0,Strength,28.4,2,Beginner,28.69,M0093,FatLoss,BasicGym,None
40,Male,51.7,1.82,0.9,792.0,Strength,21.4,3,Beginner,15.61,M0094,Hypertrophy,Home,None
45,Female,71.2,1.68,1.37,888.0,Strength,34.1,3,Beginner,25.23,M0095,Hypertrophy,Home,None
51,Female,78.1,1.51,0.92,555.0,Strength,31.1,3,Beginner,34.25,M0096,FatLoss,Home,LowerBack
39,Female,63.3,1.71,1.88,1175.0,Strength,18.5,4,Advanced,21.65,M0097,Strength,FullGym,None
32,Male,68.3,1.92,1.42,1289.0,Strength,29.9,2,Beginner,18.53,M0098,Hypertrophy,Home,None
56,Male,125.5,1.8,1.26,817.0,Strength,20.9,4,Intermediate,38.73,M0099,FatLoss,BasicGym,None
21,Female,55.2,1.55,1.37,1103.0,Strength,31.7,4,Intermediate,22.98,M0100,Hypertrophy,BasicGym,None
23,Female,71.4,1.72,1.25,1056.0,Strength,25.6,2,Beginner,24.13,M0101,Hypertrophy,Home,None
49,Male,77.7,1.61,1.03,806.0,Strength,26.7,3,Intermediate,29.98,M0102,FatLoss,BasicGym,None
57,Male,82.2,1.69,1.15,882.0,Strength,25.2,4,Intermediate,28.78,M0103,FatLoss,BasicGym,None
33,Female,68.2,1.75,0.85,638.0,Strength,29.0,2,Beginner,22.27,M0104,Hypertrophy,Home,None
59,Female,42.1,1.65,1.22,725.0,Strength,33.0,2,Beginner,15.46,M0105,Endurance,Home,Shoulder
47,Female,68.7,1.76,1.37,845.0,Strength,27.7,3,Intermediate,22.18,M0106,Endurance,BasicGym,None
36,Male,56.2,1.95,1.09,767.0,Strength,22.5,4,Intermediate,14.78,M0107,Hypertrophy,BasicGym,None
26,Female,64.1,1.5,1.93,1293.0,Strength,15.1,5,Advanced,28.49,M0108,FatLoss,FullGym,None
29,Male,86.7,1.62,1.52,1020.0,Strength,13.9,4,Advanced,33.04,M0109,FatLoss,FullGym,None
18,Female,62.0,1.59,1.23,996.0,Strength,33.2,4,Intermediate,24.52,M0110,Hypertrophy,BasicGym,None
42,Female,42.7,1.74,1.04,608.0,Strength,32.9,3,Beginner,14.1,M0111,Hypertrophy,Home,None
18,Female,67.4,1.6,0.6,492.0,Strength,33.5,3,Beginner,26.33,M0112,Hypertrophy,Home,None
39,Male,61.9,1.77,1.32,1205.0,Strength,25.3,3,Beginner,19.76,M0113,Hypertrophy,Home,LowerBack
46,Male,108.8,1.64,1.4,1171.0,Strength,20.5,3,Beginner,40.45,M0114,FatLoss,BasicGym,None
29,Male,81.7,1.99,1.45,1005.0,Strength,29.4,2,Beginner,20.63,M0115,Hypertrophy,Home,None
33,Male,81.8,1.99,1.59,1198.0,Strength,10.5,4,Advanced,20.66,M0116,Strength,FullGym,None
39,Male,107.7,1.88,0.72,634.0,Strength,28.1,2,Beginner,30.47,M0117,FatLoss,Home,None
45,Female,48.2,1.64,1.25,894.0,Strength,32.1,4,Intermediate,17.92,M0118,Hypertrophy,BasicGym,None
22,Female,50.7,1.59,1.27,883.0,Strength,29.4,3,Intermediate,20.05,M0119,Hypertrophy,BasicGym,None
47,Male,86.6,1.99,1.98,1500.0,Strength,10.6,4,Advanced,21.87,M0120,Strength,FullGym,None
29,Male,80.8,1.98,1.65,1316.0,Strength,14.6,5,Advanced,20.61,M0121,Strength,FullGym,None
33,Female,58.0,1.53,1.84,1159.0,Strength,18.3,5,Advanced,24.78,M0122,Strength,FullGym,None
27,Female,69.5,1.76,0.94,569.0,Strength,34.4,3,Beginner,22.44,M0123,Hypertrophy,BasicGym,None
22,Male,62.2,1.84,0.51,393.0,Strength,21.5,3,Beginner,18.37,M0124,Hypertrophy,Home,None
49,Male,61.0,1.87,1.14,739.0,Strength,21.3,4,Intermediate,17.44,M0125,Endurance,BasicGym,None
33,Female,64.1,1.63,1.58,948.0,Strength,16.4,5,Advanced,24.13,M0126,Strength,FullGym,None
33,Male,106.5,1.6,1.4,1170.0,Strength,27.3,4,Intermediate,41.6,M0127,FatLoss,BasicGym,None
