Age,Gender,Weight_kg,Height_m,Workout_time,Calories_Burned,Type,Fat_Percentage,Frequency,Level,BMI,member_id,goal,equipment_access,injury
54,Male,125.9,1.94,1.35,882.0,Strength,28.5,3,Intermediate,33.45,M0128,FatLoss,BasicGym,None
18,Male,62.0,1.85,0.88,586.0,Strength,23.7,3,Beginner,18.12,M0129,Hypertrophy,BasicGym,None
50,Female,69.7,1.72,1.24,753.0,Strength,27.3,4,Intermediate,23.56,M0130,Endurance,BasicGym,None
57,Female,60.9,1.52,1.31,926.0,Strength,30.6,3,Intermediate,26.36,M0131,Endurance,BasicGym,None
27,Male,76.5,1.97,1.13,1025.0,Strength,21.3,2,Beginner,19.71,M0132,Hypertrophy,BasicGym,None
52,Female,68.2,1.63,1.17,779.0,Strength,27.5,3,Beginner,25.67,M0133,Endurance,BasicGym,None
24,Male,51.0,1.67,0.97,710.0,Strength,21.3,3,Beginner,18.29,M0134,Hypertrophy,BasicGym,None
28,Male,114.2,1.87,1.05,959.0,Strength,20.2,3,Intermediate,32.66,M0135,FatLoss,BasicGym,Shoulder
41,Female,77.6,1.76,1.27,920.0,Strength,31.8,4,Intermediate,25.05,M0136,Hypertrophy,BasicGym,None
52,Male,85.5,1.8,1.7,1144.0,Strength,10.1,5,Advanced,26.39,M0137,Strength,FullGym,None
49,Male,82.3,1.84,1.29,932.0,Strength,28.4,4,Intermediate,24.31,M0138,Endurance,BasicGym,Shoulder
54,Female,46.6,1.5,1.38,1025.0,Strength,30.6,2,Beginner,20.71,M0139,Endurance,Home,None
30,Female,60.6,1.55,1.3,780.0,Strength,32.9,3,Intermediate,25.22,M0140,Hypertrophy,BasicGym,None
52,Male,65.5,1.74,1.48,1011.0,Strength,26.2,4,Intermediate,21.63,M0141,Endurance,BasicGym,Shoulder
39,Male,86.2,1.82,1.96,1725.0,Strength,10.2,5,Advanced,26.02,M0142,Strength,FullGym,None
30,Female,59.2,1.63,1.85,1304.0,Strength,17.8,4,Advanced,22.28,M0143,Strength,FullGym,None
29,Female,60.0,1.62,0.85,684.0,Strength,28.1,2,Beginner,22.86,M0144,Hypertrophy,BasicGym,None
58,Female,74.8,1.69,1.28,933.0,Strength,32.8,4,Intermediate,26.19,M0145,Endurance,BasicGym,Knee
53,Female,53.3,1.74,1.37,962.0,Strength,32.2,3,Intermediate,17.6,M0146,Endurance,BasicGym,None
33,Female,74.2,1.76,1.15,834.0,Strength,25.9,4,Intermediate,23.95,M0147,Hypertrophy,BasicGym,None
31,Female,42.7,1.76,1.46,883.0,Strength,34.9,3,Beginner,13.78,M0148,Hypertrophy,BasicGym,None
22,Female,78.7,1.52,1.45,1204.0,Strength,31.5,3,Intermediate,34.06,M0149,FatLoss,BasicGym,Knee
28,Female,62.4,1.6,1.1,710.0,Strength,34.1,3,Intermediate,24.37,M0150,Hypertrophy,BasicGym,None
29,Female,54.9,1.52,1.48,910.0,Strength,27.0,3,Beginner,23.76,M0151,Hypertrophy,BasicGym,None
26,Male,76.4,1.79,1.17,1004.0,Strength,21.3,3,Intermediate,23.84,M0152,Hypertrophy,BasicGym,None
55,Male,63.5,1.86,1.36,969.0,Strength,22.9,4,Intermediate,18.35,M0153,Endurance,BasicGym,Knee
44,Female,72.1,1.66,1.4,958.0,Strength,27.0,2,Beginner,26.16,M0154,Hypertrophy,Home,None
22,Male,86.2,1.9,1.91,1345.0,Strength,11.7,5,Advanced,23.88,M0155,Strength,FullGym,Knee
46,Male,59.4,1.68,1.16,844.0,Strength,20.2,4,Intermediate,21.05,M0156,Endurance,BasicGym,None
39,Male,85.3,1.89,0.77,593.0,Strength,27.6,2,Beginner,23.88,M0157,Hypertrophy,BasicGym,None
21,Female,76.3,1.65,1.14,878.0,Strength,31.8,3,Intermediate,28.03,M0158,FatLoss,BasicGym,None
56,Female,67.7,1.58,1.45,927.0,Strength,32.7,2,Beginner,27.12,M0159,FatLoss,Home,None
44,Male,124.8,1.85,1.35,842.0,Strength,24.4,4,Intermediate,36.46,M0160,FatLoss,BasicGym,None
56,Female,50.6,1.7,1.29,848.0,Strength,33.1,2,Beginner,17.51,M0161,Endurance,Home,None
45,Male,52.5,1.88,1.08,818.0,Strength,29.0,4,Intermediate,14.85,M0162,Hypertrophy,BasicGym,None
58,Female,49.7,1.67,1.38,776.0,Strength,31.9,4,Intermediate,17.82,M0163,Endurance,BasicGym,None
50,Female,42.7,1.53,1.41,983.0,Strength,28.4,4,Intermediate,18.24,M0164,Endurance,BasicGym,None
33,Female,56.4,1.54,1.06,822.0,Strength,29.2,3,Beginner,23.78,M0165,Hypertrophy,BasicGym,None
38,Male,46.9,1.74,1.03,946.0,Strength,20.0,4,Intermediate,15.49,M0166,Hypertrophy,BasicGym,Shoulder
28,Female,71.3,1.67,1.46,1022.0,Strength,28.1,4,Intermediate,25.57,M0167,Hypertrophy,BasicGym,None
53,Male,82.3,1.61,1.87,1139.0,Strength,11.6,5,Advanced,31.75,M0168,FatLoss,FullGym,None
35,Male,85.6,1.85,1.78,1322.0,Strength,14.5,5,Advanced,25.01,M0169,Strength,FullGym,Knee
48,Male,87.1,1.76,1.81,1398.0,Strength,11.6,5,Advanced,28.12,M0170,FatLoss,FullGym,Shoulder
40,Male,63.0,2.0,1.42,1257.0,Strength,26.8,4,Intermediate,15.75,M0171,Hypertrophy,BasicGym,None
28,Male,128.4,1.86,1.06,921.0,Strength,23.6,4,Intermediate,37.11,M0172,FatLoss,BasicGym,None
27,Female,63.7,1.52,1.19,714.0,Strength,25.4,4,Intermediate,27.57,M0173,FatLoss,BasicGym,None
26,Male,47.7,1.77,1.15,759.0,Strength,24.8,3,Intermediate,15.23,M0174,Hypertrophy,BasicGym,None
50,Male,52.2,1.84,1.38,847.0,Strength,28.2,4,Intermediate,15.42,M0175,Endurance,BasicGym,None
30,Male,101.0,1.68,1.46,1076.0,Strength,28.2,4,Intermediate,35.79,M0176,FatLoss,BasicGym,None
30,Female,51.5,1.74,1.08,810.0,Strength,33.9,3,Intermediate,17.01,M0177,Hypertrophy,BasicGym,LowerBack
52,Female,79.9,1.51,0.75,479.0,Strength,31.5,3,Beginner,35.04,M0178,FatLoss,Home,None
22,Male,88.5,1.62,1.88,1675.0,Strength,10.7,5,Advanced,33.72,M0179,FatLoss,FullGym,None
42,Male,73.5,1.63,0.52,350.0,Strength,26.1,3,Beginner,27.66,M0180,FatLoss,Home,Shoulder
19,Male,127.9,1.93,1.27,1173.0,Strength,21.8,4,Intermediate,34.34,M0181,FatLoss,BasicGym,Shoulder
22,Female,42.8,1.56,1.47,978.0,Strength,32.2,3,Intermediate,17.59,M0182,Hypertrophy,BasicGym,None
35,Male,59.2,1.66,1.3,1151.0,Strength,21.3,3,Beginner,21.48,M0183,Hypertrophy,Home,None
28,Female,78.7,1.63,1.1,847.0,Strength,31.7,3,Intermediate,29.62,M0184,FatLoss,BasicGym,None
43,Female,53.1,1.59,0.82,502.0,Strength,29.5,2,Beginner,21.0,M0185,Hypertrophy,BasicGym,None
18,Female,72.2,1.54,0.97,606.0,Strength,27.1,2,Beginner,30.44,M0186,FatLoss,Home,None
45,Female,50.9,1.65,1.45,887.0,Strength,30.1,2,Beginner,18.7,M0187,Hypertrophy,Home,None
34,Male,52.0,1.78,1.38,987.0,Strength,22.4,4,Intermediate,16.41,M0188,Hypertrophy,BasicGym,None
55,Female,63.0,1.7,1.32,719.0,Strength,34.9,3,Beginner,21.8,M0189,Endurance,BasicGym,Shoulder
40,Female,52.6,1.66,1.27,762.0,Strength,32.9,3,Intermediate,19.09,M0190,Hypertrophy,BasicGym,None
36,Female,59.3,1.75,0.99,634.0,Strength,34.5,3,Beginner,19.36,M0191,Hypertrophy,Home,None
34,Male,75.7,1.94,1.18,915.0,Strength,29.3,4,Intermediate,20.11,M0192,Hypertrophy,BasicGym,None
51,Male,60.7,1.71,1.14,954.0,Strength,22.1,2,Beginner,20.76,M0193,Endurance,Home,None
48,Female,73.0,1.59,1.19,798.0,Strength,32.0,3,Intermediate,28.88,M0194,FatLoss,BasicGym,LowerBack
56,Male,93.6,1.66,1.37,1024.0,Strength,29.0,2,Beginner,33.97,M0195,FatLoss,BasicGym,None
47,Female,40.0,1.76,0.8,475.0,Strength,26.7,3,Beginner,12.91,M0196,Endurance,Home,None
32,Male,84.0,1.74,1.45,1013.0,Strength,25.8,3,Beginner,27.74,M0197,FatLoss,BasicGym,None
55,Female,70.8,1.62,0.54,394.0,Strength,26.0,3,Beginner,26.98,M0198,Endurance,Home,None
35,Female,55.3,1.56,1.71,1188.0,Strength,19.8,5,Advanced,22.72,M0199,Strength,FullGym,None
47,Male,73.9,1.8,1.36,942.0,Strength,28.3,3,Beginner,22.81,M0200,Endurance,Home,None
47,Male,87.2,1.64,2.0,1634.0,Strength,15.0,4,Advanced,32.42,M0201,FatLoss,FullGym,None
34,Female,46.9,1.61,1.02,821.0,Strength,28.6,3,Intermediate,18.09,M0202,Hypertrophy,BasicGym,None
46,Female,62.5,1.54,1.61,906.0,Strength,18.1,4,Advanced,26.35,M0203,Strength,FullGym,None
27,Male,80.7,1.61,1.75,1598.0,Strength,14.3,4,Advanced,31.13,M0204,FatLoss,FullGym,None
41,Male,74.3,1.61,1.06,714.0,Strength,24.8,4,Intermediate,28.66,M0205,FatLoss,BasicGym,None
22,Female,78.5,1.7,1.36,938.0,Strength,31.9,4,Intermediate,27.16,M0206,FatLoss,BasicGym,Shoulder
42,Male,50.3,1.64,0.63,468.0,Strength,27.0,3,Beginner,18.7,M0207,Hypertrophy,Home,None
49,Female,70.2,1.67,0.93,695.0,Strength,32.5,3,Beginner,25.17,M0208,Endurance,Home,None
59,Female,75.8,1.77,1.46,841.0,Strength,33.1,3,Beginner,24.19,M0209,Endurance,BasicGym,None
23,Female,47.4,1.6,0.76,585.0,Strength,33.5,3,Beginner,18.52,M0210,Hypertrophy,Home,None
43,Female,53.8,1.72,1.03,742.0,Strength,30.2,4,Intermediate,18.19,M0211,Hypertrophy,BasicGym,None
26,Female,72.8,1.67,1.37,829.0,Strength,35.0,2,Beginner,26.1,M0212,Hypertrophy,BasicGym,None
39,Male,59.7,1.83,1.35,1143.0,Strength,29.1,4,Intermediate,17.83,M0213,Hypertrophy,BasicGym,None
31,Male,49.3,1.62,0.56,484.0,Strength,20.0,2,Beginner,18.79,M0214,Hypertrophy,Home,None
27,Male,89.3,1.87,1.62,1363.0,Strength,12.7,5,Advanced,25.54,M0215,Strength,FullGym,None
39,Male,127.5,1.82,1.26,1116.0,Strength,29.8,3,Intermediate,38.49,M0216,FatLoss,BasicGym,None
42,Female,56.7,1.53,1.07,717.0,Strength,27.4,3,Beginner,24.22,M0217,Hypertrophy,Home,None
53,Female,55.8,1.55,1.12,711.0,Strength,27.0,4,Intermediate,23.23,M0218,Endurance,BasicGym,None
51,Male,48.6,1.77,1.47,1128.0,Strength,26.9,2,Beginner,15.51,M0219,Endurance,Home,None
36,Female,60.0,1.72,1.63,1043.0,Strength,18.2,5,Advanced,20.28,M0220,Strength,FullGym,LowerBack
59,Male,126.4,1.69,1.24,915.0,Strength,29.5,3,Beginner,44.26,M0221,FatLoss,Home,Knee
43,Female,70.1,1.66,0.99,673.0,Strength,34.6,2,Beginner,25.44,M0222,Hypertrophy,Home,Shoulder
50,Female,61.6,1.75,1.22,911.0,Strength,25.5,4,Intermediate,20.11,M0223,Endurance,BasicGym,None
23,Male,116.8,1.79,1.0,698.0,Strength,26.8,4,Intermediate,36.45,M0224,FatLoss,BasicGym,None
47,Male,127.1,1.76,0.71,552.0,Strength,24.9,2,Beginner,41.03,M0225,FatLoss,Home,None
48,Female,69.1,1.6,1.34,1001.0,Strength,26.1,4,Intermediate,26.99,M0226,Endurance,BasicGym,None
57,Male,96.3,1.86,1.1,795.0,Strength,27.6,3,Intermediate,27.84,M0227,FatLoss,BasicGym,None
37,Female,70.3,1.77,1.01,621.0,Strength,33.7,2,Beginner,22.44,M0228,Hypertrophy,BasicGym,None
28,Female,56.0,1.5,1.94,1242.0,Strength,16.7,5,Advanced,24.89,M0229,Strength,FullGym,Shoulder
55,Female,49.3,1.76,1.28,927.0,Strength,30.5,2,Beginner,15.92,M0230,Endurance,BasicGym,Shoulder
32,Male,49.3,1.62,1.18,1025.0,Strength,29.3,3,Intermediate,18.79,M0231,Hypertrophy,BasicGym,None
28,Female,63.0,1.62,0.68,500.0,Strength,31.7,2,Beginner,24.01,M0232,Hypertrophy,Home,None
36,Female,57.7,1.77,1.65,1213.0,Strength,19.4,4,Advanced,18.42,M0233,Strength,FullGym,None
37,Male,76.9,1.82,1.49,992.0,Strength,24.5,4,Intermediate,23.22,M0234,Hypertrophy,BasicGym,None
31,Female,53.5,1.76,1.22,811.0,Strength,27.6,4,Intermediate,17.27,M0235,Hypertrophy,BasicGym,None
50,Female,70.4,1.55,0.73,470.0,Strength,29.9,2,Beginner,29.3,M0236,FatLoss,Home,None
23,Male,57.7,1.71,1.15,942.0,Strength,27.0,3,Intermediate,19.73,M0237,Hypertrophy,BasicGym,LowerBack
40,Male,80.3,1.76,1.63,1497.0,Strength,13.1,5,Advanced,25.92,M0238,Strength,FullGym,None
37,Female,66.9,1.75,1.38,876.0,Strength,26.5,4,Intermediate,21.84,M0239,Hypertrophy,BasicGym,LowerBack
28,Male,58.3,2.0,1.32,980.0,Strength,28.2,4,Intermediate,14.57,M0240,Hypertrophy,BasicGym,None
32,Male,89.8,1.92,1.93,1783.0,Strength,10.6,4,Advanced,24.36,M0241,Strength,FullGym,None
55,Male,118.6,1.72,0.77,640.0,Strength,25.9,3,Beginner,40.09,M0242,FatLoss,BasicGym,None
57,Male,55.7,1.99,1.13,705.0,Strength,23.6,3,Intermediate,14.07,M0243,Endurance,BasicGym,None
28,Female,67.3,1.67,0.61,479.0,Strength,29.2,3,Beginner,24.13,M0244,Hypertrophy,Home,None
58,Female,59.3,1.58,1.97,1463.0,Strength,19.8,4,Advanced,23.75,M0245,Strength,FullGym,None
52,Male,63.6,1.62,1.3,965.0,Strength,20.8,4,Intermediate,24.23,M0246,Endurance,BasicGym,None
22,Male,107.4,1.74,1.34,1017.0,Strength,22.0,2,Beginner,35.47,M0247,FatLoss,BasicGym,None
31,Female,53.3,1.64,0.57,402.0,Strength,29.4,3,Beginner,19.82,M0248,Hypertrophy,Home,Shoulder
43,Male,46.2,1.63,1.18,812.0,Strength,21.7,2,Beginner,17.39,M0249,Hypertrophy,Home,None
35,Male,127.1,1.62,1.02,718.0,Strength,23.3,4,Intermediate,48.43,M0250,FatLoss,BasicGym,None
55,Male,69.9,1.81,1.2,992.0,Strength,20.2,4,Intermediate,21.34,M0251,Endurance,BasicGym,None
40,Male,87.9,1.87,1.96,1445.0,Strength,10.7,5,Advanced,25.14,M0252,Strength,FullGym,None
32,Male,102.8,1.98,1.24,818.0,Strength,27.8,3,Intermediate,26.22,M0253,Hypertrophy,BasicGym,None
50,Male,95.4,1.61,1.16,764.0,Strength,21.5,4,Intermediate,36.8,M0254,FatLoss,BasicGym,None
24,Male,87.1,1.74,1.57,1364.0,Strength,10.0,4,Advanced,28.77,M0255,FatLoss,FullGym,None
25,Male,66.6,1.61,1.38,1260.0,Strength,25.0,2,Beginner,25.69,M0256,Hypertrophy,Home,None
46,Male,88.7,1.63,0.75,542.0,Strength,28.8,2,Beginner,33.38,M0257,FatLoss,Home,None
